Number,uid,name,Staff,HWP,Location,HWP.1,Attendees,Paid,TranTrai,Upload,Time,Bulk,Complex,Task,Online,Team,Self,People,Assign,Coord,TranSamp,TimeSamp,WQO,WQC,WQM,WQS,created,access,login,Latest,ActivePeriod,Years,Blog,Comment,Footprint,Forum,Invite,InviteAccepted,Pres,Quiz,Sample,Share,PCA1_Difficulty,Uploaded,Sample_bi,Super_user
1,19270,fernandpol,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/07/2016,11/07/2016,11/07/2016,11/07/2016,0,0,0,3,0,0,0,0,0,0,0,0,-0.7625,0,0,0
2,19007,donidave,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/06/2016,10/06/2016,10/06/2016,10/06/2016,0,0,0,1,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3,0,,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,31/12/1969,31/12/1969,31/12/1969,31/12/1969,0,0,0,0,0,0,0,0,0,0,120,0,-1.0279,100+,1,1
4,392,anandbose,0,1,Dehli,1,NA,NA,NA,NA,4,5,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/03/2013,13/03/2013,13/03/2013,13/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0
5,447,dialasobh,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18/03/2013,18/03/2013,18/03/2013,18/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
6,1074,lilysi,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/05/2013,31/12/1969,31/12/1969,07/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
7,1346,ncirillo,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/2013,31/12/1969,31/12/1969,05/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
8,1501,cmeijlink,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28/06/2013,28/06/2013,28/06/2013,28/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
9,1502,smoseleit,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28/06/2013,28/06/2013,28/06/2013,28/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
10,1503,daverdunk,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28/06/2013,28/06/2013,28/06/2013,28/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
