uid,Date,TrainLoc,Protocol,TrainTeam,Rainfall,Temp,Paid,Team,Self,People,Assign,TranTrai,Coord,Upload,Time,Bulk,Complex,Task,WQO,WQC,WQM,created,Latest,ToNow,ActivePeriod,Years,TeamPoints,Blog,Comment,Invite,InviteAccepted,Pres,Quiz,Sample,Share,Points,BlogTime,CommTime,InvTime,InviteATime,PresTime,QuizTime,SampTime,ShareTime,PointsTime,BlogTimeZ,CommTimeZ,InvTimeZ,InviteATimeZ,PresTimeZ,QuizTimeZ,SampTimeZ,ShareTimeZ,PointsTimeZ,BlogTimeZZ
3549,10/09/2012,Biggs 2012 Short Duration HWP Pilot Team C - CSL,London,8,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,09/07/2014,1271.00,225,0.62,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0.0055,0,0,0.0551,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,0.3692,-0.1023,-0.0252,-0.0992,-0.0683
3550,10/09/2012,Biggs 2012 Short Duration HWP Pilot Team D - CSL,London,11,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,07/08/2014,1271.00,254,0.7,0,0,1,0,0,0,2,0,0,44,0,0.0055,0,0,0,0.011,0,0,0.2423,-0.0609,1.1322,-0.0496,-0.0357,-0.0603,1.6144,-0.1023,-0.0252,0.035,-0.0683
3551,10/09/2012,Biggs 2012 Short Duration HWP Pilot Team C - CSL,London,8,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,26/11/2013,1271.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
3552,10/09/2012,Biggs 2012 Short Duration HWP Pilot Team C - CSL,London,8,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,26/11/2013,1271.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
3553,10/09/2012,Biggs 2012 Short Duration HWP Pilot Team C - CSL,London,8,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,26/11/2013,1271.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
3554,10/09/2012,Biggs 2012 Short Duration HWP Pilot Team C - CSL,London,8,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,26/11/2013,1271.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
3555,10/09/2012,Biggs 2012 Short Duration HWP Pilot Team C - CSL,London,8,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,2,2,2,26/11/2013,10/12/2015,1271.00,744,2.04,0,0,0,0,0,0,0,12,0,240,0,0,0,0,0,0,0.0661,0,1.3218,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,0.9107,-0.0252,0.8086,-0.0683
3557,10/09/2012,Biggs 2012 Short Duration HWP Pilot Team C - CSL,London,8,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,26/11/2013,1271.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
444,11/06/2012,Biggs 2012 Short Duration HWP Pilot Team D - CSL,London,11,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,18/03/2013,27/03/2014,1524.00,374,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
3558,11/06/2012,Biggs 2012 Short Duration HWP Pilot Team D - CSL,London,11,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,21/03/2014,1271.00,115,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
