uid,TrainingDate,Code,Protocol,Country,TrainTeam,Rainfall,Temp,Paid,Team,Self,People,Assign,TranTrai,Coord,Upload,Time,Bulk,Complex,Task,WQO,WQC,WQM,created,Latest,ToNow,ActivePeriod,Years,MaxSamp,PeriodSamp,TeamPoints,Blog,Comment,Invite,InviteAccepted,Pres,Quiz,Sample,Share,Points,BlogTime,CommTime,InvTime,InviteATime,PresTime,QuizTime,SampTime,ShareTime,PointsTime,BlogTimeZ,CommTimeZ,InvTimeZ,InviteATimeZ,PresTimeZ,QuizTimeZ,SampTimeZ,ShareTimeZ,PointsTimeZ,BlogTimeZZ
3549,09/10/2012,London41191,London,UK,8,0.05,10.56,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,09/07/2014,1271,225,0.62,NA,NA,0.00000,0,0,0,0,0,1,0,0,10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00551,0.00000,0.00000,0.05507,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,0.36921,-0.10226,-0.02518,-0.09923,-0.06833
3550,09/10/2012,London41191,London,UK,11,0.05,10.56,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,07/08/2014,1271,254,0.7,NA,NA,0.00000,0,1,0,0,0,2,0,0,44,0.00000,0.00551,0.00000,0.00000,0.00000,0.01101,0.00000,0.00000,0.24233,-0.06091,1.13220,-0.04963,-0.03572,-0.06035,1.61442,-0.10226,-0.02518,0.03497,-0.06833
3551,09/10/2012,London41191,London,UK,8,0.05,10.56,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,26/11/2013,1271,0,0,NA,NA,0.00000,0,0,0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,-0.10226,-0.02518,-0.13870,-0.06833
3552,09/10/2012,London41191,London,UK,8,0.05,10.56,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,26/11/2013,1271,0,0,NA,NA,0.00000,0,0,0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,-0.10226,-0.02518,-0.13870,-0.06833
3553,09/10/2012,London41191,London,UK,8,0.05,10.56,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,26/11/2013,1271,0,0,NA,NA,0.00000,0,0,0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,-0.10226,-0.02518,-0.13870,-0.06833
3554,09/10/2012,London41191,London,UK,8,0.05,10.56,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,26/11/2013,1271,0,0,NA,NA,0.00000,0,0,0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,-0.10226,-0.02518,-0.13870,-0.06833
3555,09/10/2012,London41191,London,UK,8,0.05,10.56,1,0,1,1,0,0,0,1,2,2,2,2,2,2,2,26/11/2013,10/12/2015,1271,744,2.04,14/08/2015,1271,0.00000,0,0,0,0,0,0,12,0,240,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06609,0.00000,1.32179,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,0.91074,-0.02518,0.80859,-0.06833
3557,09/10/2012,London41191,London,UK,8,0.05,10.56,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,26/11/2013,1271,0,0,NA,NA,0.00000,0,0,0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,-0.10226,-0.02518,-0.13870,-0.06833
444,06/11/2012,London41191,London,UK,11,0.05,10.56,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,18/03/2013,27/03/2014,1524,374,1.02,NA,NA,0.00000,0,0,0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,-0.10226,-0.02518,-0.13870,-0.06833
3558,06/11/2012,London41191,London,UK,11,0.05,10.56,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,21/03/2014,1271,115,0.32,NA,NA,0.00000,0,0,0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,-0.10226,-0.02518,-0.13870,-0.06833
3559,06/11/2012,London41191,London,UK,11,0.05,10.56,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,26/11/2013,1271,0,0,NA,NA,0.00000,0,0,0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,-0.10226,-0.02518,-0.13870,-0.06833
3560,06/11/2012,London41191,London,UK,11,0.05,10.56,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,25/09/2014,1271,303,0.83,NA,NA,0.00000,0,0,0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,-0.10226,-0.02518,-0.13870,-0.06833
3561,06/11/2012,London41191,London,UK,11,0.05,10.56,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,13/12/2013,1271,17,0.05,NA,NA,0.00000,0,0,0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,-0.10226,-0.02518,-0.13870,-0.06833
3562,06/11/2012,London41191,London,UK,11,0.05,10.56,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,26/11/2013,1271,0,0,NA,NA,0.00000,0,0,0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,-0.10226,-0.02518,-0.13870,-0.06833
3563,06/11/2012,London41191,London,UK,11,0.05,10.56,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,26/11/2013,1271,0,0,NA,NA,0.00000,0,0,0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,-0.10226,-0.02518,-0.13870,-0.06833
3564,06/11/2012,London41191,London,UK,11,0.05,10.56,1,0,1,1,0,0,0,1,2,2,2,2,1,1,1,26/11/2013,23/03/2015,1271,482,1.32,23/03/2015,1271,0.00000,0,0,0,0,0,1,1,0,38,0.00000,0.00000,0.00000,0.00000,0.00000,0.00551,0.00551,0.00000,0.20928,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,0.36921,-0.01784,-0.02518,0.01129,-0.06833
253,05/03/2013,London41338,London,UK,21,0.00,9.82,1,0,1,1,0,0,0,1,2,2,2,2,1,1,1,01/03/2013,01/07/2014,1541,487,1.33,01/07/2014,1541,0.00000,0,0,0,0,0,0,1,0,20,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00454,0.00000,0.09085,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,-0.01784,-0.02518,-0.05976,-0.06833
254,05/03/2013,London41338,London,UK,21,0.00,9.82,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,01/03/2013,16/10/2013,1541,229,0.63,NA,NA,0.00000,0,0,0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,-0.10226,-0.02518,-0.13870,-0.06833
255,05/03/2013,London41338,London,UK,21,0.00,9.82,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,01/03/2013,15/10/2013,1541,228,0.62,NA,NA,0.00000,0,0,0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,-0.10226,-0.02518,-0.13870,-0.06833
256,05/03/2013,London41338,London,UK,21,0.00,9.82,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,01/03/2013,15/10/2013,1541,228,0.62,NA,NA,0.00000,0,0,0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,-0.10226,-0.02518,-0.13870,-0.06833
258,05/03/2013,London41338,London,UK,21,0.00,9.82,1,0,1,1,0,0,0,1,2,2,2,2,1,1,1,01/03/2013,12/05/2016,1541,1168,3.2,23/11/2014,1541,0.00000,0,0,0,0,0,0,1,0,20,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00454,0.00000,0.09085,-0.06091,-0.06577,-0.04963,-0.03572,-0.06035,-0.87599,-0.01784,-0.02518,-0.05976,-0.06833
