uid,Date,Code,Protocol,Country,TrainTeam,Rainfall,Temp,Paid,Team,Self,People,Assign,TranTrai,Coord,Upload,Time,Bulk,Complex,Task,WQO,WQC,WQM,MedInd,MedTrain,MedProt,Participants2,created,Latest,ToNow,ActivePeriod,Years,MaxSamp,PeriodSamp,TeamPoints,Blog,Comment,Invite,InviteAccepted,Pres,Quiz,Sample,Share,Points,BlogTime,CommTime,InvTime,InviteATime,PresTime,QuizTime,SampTime,ShareTime,PointsTime,BlogTimeZ,CommTimeZ,InvTimeZ,InviteATimeZ,PresTimeZ,QuizTimeZ,SampTimeZ,ShareTimeZ,PointsTimeZ,BlogTimeZZ
3549,10/09/2012,London41191,London,UK,8,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,26/11/2013,09/07/2014,1271,225,0.62,NA,NA,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0.005507474,0,0,0.055074744,-0.060907028,-0.065772975,-0.049633913,-0.035717777,-0.060348877,0.369211099,-0.102260706,-0.025183887,-0.099231991,-0.068330789
3550,10/09/2012,London41191,London,UK,11,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,26/11/2013,07/08/2014,1271,254,0.7,NA,NA,0,0,1,0,0,0,2,0,0,44,0,0.005507474,0,0,0,0.011014949,0,0,0.242328875,-0.060907028,1.132200159,-0.049633913,-0.035717777,-0.060348877,1.614416683,-0.102260706,-0.025183887,0.034968244,-0.068330789
3551,10/09/2012,London41191,London,UK,8,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,26/11/2013,26/11/2013,1271,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.060907028,-0.065772975,-0.049633913,-0.035717777,-0.060348877,-0.875994486,-0.102260706,-0.025183887,-0.138702649,-0.068330789
3552,10/09/2012,London41191,London,UK,8,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,26/11/2013,26/11/2013,1271,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.060907028,-0.065772975,-0.049633913,-0.035717777,-0.060348877,-0.875994486,-0.102260706,-0.025183887,-0.138702649,-0.068330789
3553,10/09/2012,London41191,London,UK,8,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,26/11/2013,26/11/2013,1271,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.060907028,-0.065772975,-0.049633913,-0.035717777,-0.060348877,-0.875994486,-0.102260706,-0.025183887,-0.138702649,-0.068330789
3554,10/09/2012,London41191,London,UK,8,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,26/11/2013,26/11/2013,1271,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.060907028,-0.065772975,-0.049633913,-0.035717777,-0.060348877,-0.875994486,-0.102260706,-0.025183887,-0.138702649,-0.068330789
3555,10/09/2012,London41191,London,UK,8,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,2,4,3,2.5,2,1,2.5,26/11/2013,10/12/2015,1271,744,2.04,42230,1271,0,0,0,0,0,0,0,12,0,240,0,0,0,0,0,0,0.066089693,0,1.321793863,-0.060907028,-0.065772975,-0.049633913,-0.035717777,-0.060348877,-0.875994486,0.910735213,-0.025183887,0.808593132,-0.068330789
3557,10/09/2012,London41191,London,UK,8,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,26/11/2013,26/11/2013,1271,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.060907028,-0.065772975,-0.049633913,-0.035717777,-0.060348877,-0.875994486,-0.102260706,-0.025183887,-0.138702649,-0.068330789
444,11/06/2012,London41191,London,UK,11,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,18/03/2013,27/03/2014,1524,374,1.02,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.060907028,-0.065772975,-0.049633913,-0.035717777,-0.060348877,-0.875994486,-0.102260706,-0.025183887,-0.138702649,-0.068330789
3558,11/06/2012,London41191,London,UK,11,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,26/11/2013,21/03/2014,1271,115,0.32,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.060907028,-0.065772975,-0.049633913,-0.035717777,-0.060348877,-0.875994486,-0.102260706,-0.025183887,-0.138702649,-0.068330789
