"","uid","period"
"1",2701,106
"2",984,210
"3",2988,54
"4",2617,1151
"5",1801,348
"6",1724,223
"7",1667,828
"8",1793,0
"9",1808,0
"10",1791,883
"11",2825,53
"12",2228,135
"13",704,280
"14",2496,159
"15",774,1254
"16",762,1032
"17",1725,302
"18",1622,69
"19",2447,210
"20",1505,280
"21",864,720
"22",1788,0
"23",362,463
"24",869,846
"25",779,735
"26",2638,511
"27",703,917
"28",1796,344
"29",1799,217
"30",1802,0
"31",873,1212
"32",1519,0
"33",1787,351
"34",3362,1147
"35",1804,210
"36",2253,298
"37",2985,307
"38",2230,613
"39",861,1029
"40",1841,55
"41",2777,252
"42",970,113
"43",636,406
"44",377,298
"45",2542,0
"46",2405,0
"47",759,132
"48",1665,1039
"49",874,302
"50",3354,0
"51",2446,300
"52",2375,230
"53",2229,1085
"54",1670,1242
"55",2187,364
"56",2506,94
"57",2537,763
"58",878,834
"59",289,1085
"60",2147,0
"61",617,1058
"62",621,504
"63",337,259
"64",2861,854
"65",3624,0
"66",1429,328
"67",1954,476
"68",1478,285
"69",899,0
"70",1701,1299
"71",2763,774
"72",988,193
"73",2669,0
"74",1512,644
"75",840,478
"76",2616,0
"77",3543,1051
"78",3344,0
"79",2507,707
"80",912,175
"81",1660,0
"82",2510,402
"83",839,1293
"84",262,348
"85",890,354
"86",1484,1056
"87",740,1136
"88",833,602
"89",1895,607
"90",378,556
"91",3338,0
"92",3470,0
"93",2691,0
"94",2529,0
"95",1294,0
"96",689,1091
"97",2814,146
"98",2885,424
"99",416,1192
"100",2535,512
"101",1579,498
"102",3443,0
"103",3437,0
"104",3434,0
"105",2782,385
"106",959,293
"107",2508,169
"108",3243,1
"109",2178,0
"110",2514,148
"111",3242,0
"112",2596,17
"113",2618,0
"114",2990,351
"115",315,791
"116",693,173
"117",696,889
"118",694,0
"119",898,127
"120",333,1129
"121",2002,1
"122",3326,0
"123",2095,0
"124",2093,538
"125",795,559
"126",2987,0
"127",2613,0
"128",2858,0
"129",1272,161
