uid,Com_score,Skill_score
19270,6,0
19007,2,0
0,0,0
392,0,0
447,0,0
1074,0,0
1346,0,0
1501,0,0
1502,0,0
1503,0,0
1530,0,0
1651,0,0
1673,0,0
1676,0,0
1705,0,0
1734,0,0
1735,0,0
1743,0,0
1775,0,0
1779,0,0
1814,0,0
1828,0,0
1831,0,0
1969,0,0
1976,0,0
1977,0,0
2009,0,4
2011,0,0
2026,0,0
2028,0,0
2073,0,0
2077,0,0
2080,0,0
2082,0,0
2118,0,0
2205,0,0
2210,0,0
2280,0,0
2286,0,0
2287,0,0
2288,0,0
2294,0,0
2351,0,0
2363,0,0
2448,0,0
2472,0,0
2473,0,0
2475,0,0
2478,0,0
2482,0,0
2485,0,0
2486,0,0
2557,0,0
2564,0,0
2565,0,0
2566,0,0
2574,0,0
2576,0,0
2583,0,2
2585,0,2
2587,0,2
2589,0,2
2590,0,2
2592,0,0
2593,0,0
2714,0,0
2718,0,0
2908,0,0
2909,0,0
2957,0,0
2959,0,0
2964,0,0
2966,0,0
2967,0,0
2991,0,6
3088,0,0
3115,0,0
3117,0,0
3118,0,0
3119,0,0
3120,0,0
3127,0,0
3133,0,0
3136,0,0
3137,0,0
3161,0,0
3162,0,2
3164,0,4
3166,0,0
3169,0,0
3170,0,0
3173,0,0
3174,0,0
3176,0,0
3177,0,2
3179,0,2
3180,0,2
3181,0,0
3182,0,2
3183,0,2
3192,0,0
3194,0,0
3197,0,0
3201,0,0
3203,0,0
3204,0,0
3205,0,0
3207,0,0
3209,0,0
3218,0,0
3228,0,0
3230,0,0
3231,0,0
3240,0,0
3244,0,0
3248,0,0
3258,0,0
3259,0,0
3261,0,0
3269,0,0
3323,0,4
3329,0,0
3333,0,0
3335,0,0
3336,0,0
3340,0,0
3341,0,0
3358,0,2
3360,0,0
3373,0,0
3375,0,0
3394,0,0
3395,0,0
3396,0,0
3429,0,0
3431,0,0
3432,0,0
3433,0,0
3435,0,0
3438,0,0
3439,0,2
3445,0,0
3446,0,0
3448,0,0
3449,0,0
3450,0,0
3452,0,0
3454,0,6
3455,0,0
3456,0,0
3458,0,0
3459,0,0
3467,0,0
3469,0,0
3474,0,0
3487,0,0
3491,0,0
3494,0,0
3503,0,0
3513,0,4
3516,0,0
3519,0,0
3522,0,2
3525,0,0
3526,0,4
3527,0,2
3528,0,0
3531,0,0
3535,0,2
3536,0,0
3551,0,0
3552,0,0
3553,0,0
3554,0,0
3557,0,0
3559,0,0
3562,0,0
3563,0,0
3574,0,0
3579,0,0
3594,0,2
3595,0,0
3601,0,0
3603,0,0
3606,0,2
3612,0,0
3615,0,0
3616,0,0
3617,0,0
3618,0,0
3619,0,0
3621,0,0
3622,0,0
3626,0,4
3629,0,0
3630,0,0
3631,0,0
3634,0,0
3636,0,0
3644,0,0
3656,0,0
3661,0,0
3663,0,0
3664,0,0
3673,0,0
3678,0,0
3682,0,0
3683,0,0
3686,0,0
3687,0,0
3688,0,0
3694,0,0
3700,0,0
3703,0,0
3704,0,0
3722,0,0
3734,0,0
3735,0,0
3744,0,0
3745,0,0
3748,0,0
3750,0,0
3751,0,0
3757,0,0
3764,0,0
3772,0,0
3774,0,0
3778,0,0
3780,0,0
3785,0,0
3806,0,0
3818,0,2
3821,0,0
3822,0,0
3824,0,0
3825,0,0
3827,0,0
3829,0,0
3830,0,0
3833,0,0
3834,0,4
3838,0,4
3840,0,0
3871,0,0
3874,0,0
3879,0,0
3888,0,0
3889,0,0
3890,0,0
3902,0,0
3913,0,0
3923,0,0
3924,0,0
3925,0,0
3928,0,0
3930,0,0
3931,0,0
3932,0,0
3934,0,0
3940,0,0
3949,0,0
3950,0,0
3958,0,0
3980,0,0
4017,0,0
4020,0,0
4023,0,0
4025,0,0
4030,0,0
4052,0,0
4056,0,0
4080,0,0
4124,0,0
4133,0,0
4170,0,0
4171,0,0
4174,0,0
4176,0,0
4177,0,0
4179,0,0
4184,0,0
4186,0,0
4187,0,0
4188,0,0
4194,0,0
4205,0,0
4210,0,0
4212,0,0
4213,0,0
4214,0,0
4215,0,0
4216,0,0
4217,0,4
4219,0,0
4221,0,0
4226,0,0
4227,0,0
4280,0,0
4282,0,0
4288,0,0
4295,0,0
4300,0,0
4311,0,0
4312,0,0
4316,0,2
4318,0,0
4327,0,2
4334,0,0
4342,0,0
4343,0,0
4344,0,0
4350,0,4
4351,0,0
4356,0,0
4357,0,0
4358,0,0
4362,0,0
4367,0,0
4370,0,0
4378,0,0
4382,0,0
4449,0,0
4475,0,0
4476,0,0
4477,0,0
4514,0,0
4519,0,0
4547,0,0
4548,0,0
4549,0,0
4552,0,0
4585,0,2
4588,0,0
4589,0,0
4604,0,2
4608,0,0
4611,0,0
4618,0,0
4630,0,0
4662,0,0
4670,0,0
4679,0,0
4682,0,2
4683,0,0
4689,0,0
4699,0,0
4700,0,0
4708,0,2
4711,0,0
4712,0,0
4717,0,0
4740,0,0
4741,0,0
4754,0,0
4756,0,0
4762,0,0
4763,0,0
4771,0,0
4774,0,0
4790,0,0
4799,0,0
4800,0,0
4825,0,0
4830,0,0
4833,0,0
4834,0,0
4835,0,0
4836,0,0
4837,0,0
4851,0,0
4868,0,0
4892,0,0
4924,0,0
4935,0,0
4936,0,0
4943,0,4
4946,0,2
4952,0,0
4980,0,0
4981,0,0
4986,0,2
4993,0,0
4998,0,0
4999,0,6
5002,0,0
5009,0,0
5034,0,0
5035,0,0
5037,0,0
5043,0,0
5045,0,0
5066,0,0
5068,0,0
5069,0,0
5070,0,0
5071,0,0
5073,0,0
5076,0,0
5109,0,2
5124,0,0
5125,0,0
5146,0,0
5151,0,0
5167,0,0
5168,0,0
5179,0,0
5184,0,0
5185,0,0
5191,0,0
5199,0,0
5206,0,0
5215,0,0
5227,0,0
5235,0,0
5241,0,0
5242,0,0
5244,0,0
5257,0,0
5258,0,2
5259,0,0
5261,0,0
5268,0,0
5276,0,0
5284,0,0
5285,0,0
5288,0,0
5289,0,0
5315,0,0
5347,0,0
5351,0,0
5352,0,0
5353,0,0
5354,0,0
5356,0,0
5359,0,0
5380,0,0
5382,0,0
5383,0,0
5391,0,0
5428,0,4
5507,0,0
5509,0,0
5533,0,0
5546,0,0
5560,0,2
5564,0,0
5566,0,2
5574,0,2
5585,0,2
5586,0,2
5587,0,4
5593,0,2
5595,0,2
5598,0,2
5599,0,2
5605,0,2
5606,0,2
5608,0,2
5609,0,2
5610,0,2
5611,0,4
5612,0,2
5614,0,0
5615,0,0
5629,0,0
5630,0,2
5649,0,0
5655,0,0
5701,0,0
5702,0,0
5703,0,0
5704,0,0
5710,0,0
5717,0,2
5720,0,0
5736,0,2
5737,0,2
5738,0,0
5741,0,0
5744,0,0
5747,0,0
5753,0,0
5759,0,0
5761,0,0
5764,0,0
5765,0,0
5771,0,2
5772,0,0
5773,0,0
5775,0,0
5777,0,0
5779,0,0
5780,0,0
5783,0,0
5785,0,2
5788,0,0
5790,0,0
5792,0,0
5794,0,0
5797,0,0
5800,0,0
5802,0,0
5803,0,0
5808,0,0
5816,0,0
5817,0,0
5826,0,0
5854,0,0
5871,0,0
5872,0,0
5874,0,0
5877,0,0
5894,0,0
5911,0,0
5920,0,0
5955,0,0
5962,0,0
6012,0,0
6016,0,2
6025,0,0
6026,0,0
6027,0,0
6028,0,0
6029,0,0
6031,0,2
6040,0,0
6063,0,0
6064,0,0
6096,0,2
6102,0,0
6103,0,0
6114,0,0
6115,0,0
6144,0,0
6149,0,2
6155,0,0
6158,0,0
6165,0,0
6187,0,0
6192,0,0
6196,0,2
6205,0,0
6213,0,0
6214,0,0
6220,0,2
6233,0,0
6234,0,0
6239,0,0
6244,0,0
6245,0,0
6246,0,0
6250,0,0
6257,0,0
6258,0,0
6261,0,0
6268,0,0
6270,0,0
6281,0,0
6288,0,0
6293,0,0
6327,0,2
6362,0,0
6363,0,0
6404,0,0
6405,0,0
6443,0,4
6453,0,0
6454,0,0
6470,0,0
6487,0,0
6488,0,0
6506,0,0
6536,0,0
6537,0,0
6539,0,0
6567,0,2
6570,0,0
6574,0,2
6575,0,0
6576,0,2
6577,0,0
6580,0,2
6582,0,0
6583,0,2
6585,0,0
6590,0,0
6601,0,0
6622,0,0
6632,0,0
6637,0,0
6638,0,0
6641,0,0
6642,0,0
6643,0,0
6645,0,0
6647,0,0
6648,0,0
6649,0,0
6650,0,0
6652,0,0
6671,0,0
6677,0,0
6689,0,0
6692,0,0
6694,0,2
6696,0,2
6710,0,0
6714,0,0
6715,0,0
6752,0,0
6807,0,0
6808,0,0
6809,0,0
6813,0,0
6815,0,0
6830,0,0
6841,0,0
6883,0,0
6884,0,0
6885,0,0
6886,0,0
6887,0,0
6888,0,0
6889,0,0
6890,0,0
6891,0,0
6892,0,2
6893,0,0
6894,0,0
6895,0,0
6896,0,0
6897,0,0
6900,0,0
6901,0,0
6902,0,0
6918,0,0
6951,0,0
6975,0,0
6986,0,0
7011,0,0
7019,0,0
7027,0,0
7028,0,0
7031,0,0
7035,0,0
7045,0,0
7050,0,0
7052,0,0
7059,0,0
7061,0,0
7063,0,0
