"","x"
"1","0"
"2","1"
"3","179"
"4","264"
"5","289"
"6","318"
"7","341"
"8","362"
"9","524"
"10","617"
"11","621"
"12","677"
"13","681"
"14","688"
"15","689"
"16","696"
"17","703"
"18","711"
"19","740"
"20","758"
"21","761"
"22","762"
"23","769"
"24","795"
"25","833"
"26","835"
"27","839"
"28","840"
"29","842"
"30","845"
"31","861"
"32","864"
"33","869"
"34","873"
"35","874"
"36","903"
"37","907"
"38","931"
"39","959"
"40","1220"
"41","1256"
"42","1269"
"43","1272"
"44","1323"
"45","1352"
"46","1357"
"47","1429"
"48","1435"
"49","1484"
"50","1512"
"51","1611"
"52","1665"
"53","1667"
"54","1670"
"55","1701"
"56","1801"
"57","1850"
"58","1895"
"59","1945"
"60","1954"
"61","1994"
"62","2106"
"63","2115"
"64","2186"
"65","2187"
"66","2229"
"67","2329"
"68","2456"
"69","2507"
"70","2513"
"71","2537"
"72","2617"
"73","2782"
"74","2885"
"75","2888"
"76","2941"
"77","2985"
"78","3196"
"79","3212"
"80","3298"
"81","3362"
"82","3367"
"83","3466"
"84","3532"
"85","3543"
"86","3659"
"87","3692"
"88","3714"
"89","3730"
"90","3773"
"91","4059"
"92","4107"
"93","4275"
"94","4439"
"95","4511"
"96","4516"
"97","4532"
"98","4534"
"99","4644"
"100","4722"
"101","4723"
"102","4933"
"103","5042"
"104","5462"
"105","5475"
"106","5477"
"107","5486"
"108","5547"
"109","5835"
"110","5852"
"111","5878"
"112","5931"
"113","6050"
"114","6171"
"115","6179"
"116","6348"
"117","6412"
"118","6439"
"119","6447"
"120","6451"
"121","6578"
"122","6694"
"123","6768"
"124","6878"
"125","7030"
"126","7072"
"127","7169"
"128","7322"
"129","7641"
"130","7666"
"131","7676"
"132","7757"
"133","7803"
"134","7927"
"135","7931"
"136","7933"
"137","7936"
"138","8203"
"139","8571"
"140","8780"
"141","8927"
"142","8949"
"143","8951"
"144","9195"
"145","9225"
"146","9750"
"147","9797"
"148","9875"
"149","9880"
"150","9956"
"151","10050"
"152","10289"
"153","10732"
"154","11079"
"155","11152"
"156","11336"
"157","11337"
"158","11387"
"159","11390"
"160","11442"
"161","11465"
"162","11797"
"163","11815"
"164","11824"
"165","12170"
"166","12431"
"167","12608"
"168","12978"
"169","13103"
"170","13475"
"171","13603"
"172","13604"
"173","13664"
"174","13673"
"175","13722"
"176","13736"
"177","13791"
"178","13806"
"179","13825"
"180","13882"
"181","13884"
"182","13963"
"183","13985"
"184","14000"
"185","14002"
"186","14029"
"187","14076"
"188","14078"
"189","14082"
"190","14116"
"191","14117"
"192","14131"
"193","14150"
"194","14178"
"195","14242"
"196","14257"
"197","14380"
"198","14497"
"199","14857"
"200","14895"
"201","15068"
"202","15447"
"203","16245"
"204","16246"
"205","16498"
"206","16889"
"207","16943"
"208","16949"
"209","17174"
"210","17189"
"211","17646"
"212","17647"
"213","17709"
"214","17751"
"215","17798"
"216","17807"
"217","17823"
"218","17829"
"219","17882"
"220","17925"
"221","17971"
"222","17998"
"223","18007"
"224","18009"
"225","18026"
"226","18233"
"227","18809"
"228","19036"
"229","19178"
"230","19308"
"231","19387"
"232","19412"
"233","19477"
"234","19639"
"235","19646"
"236","19687"
"237","19854"
"238","19874"
"239","19919"
"240","20119"
"241","20191"
"242","20359"
"243","20374"
"244","20375"
"245","20632"
"246","21448"
"247","21603"
