uid,Sample,Year,Count
2701,29/12/2013,2013,1
984,28/12/2013,2013,1
2988,27/12/2013,2013,1
2617,26/12/2013,2013,1
1801,24/12/2013,2013,1
1724,22/12/2013,2013,1
1667,22/12/2013,2013,1
1667,22/12/2013,2013,1
1793,22/12/2013,2013,1
1808,21/12/2013,2013,1
984,21/12/2013,2013,1
1791,21/12/2013,2013,1
2825,21/12/2013,2013,1
2228,17/12/2013,2013,1
2228,17/12/2013,2013,1
704,17/12/2013,2013,1
2496,16/12/2013,2013,1
774,15/12/2013,2013,1
762,15/12/2013,2013,1
762,15/12/2013,2013,1
1725,15/12/2013,2013,1
1622,15/12/2013,2013,1
2447,15/12/2013,2013,1
1505,15/12/2013,2013,1
864,15/12/2013,2013,1
2447,15/12/2013,2013,1
1788,15/12/2013,2013,1
362,15/12/2013,2013,1
869,15/12/2013,2013,1
362,15/12/2013,2013,1
1788,15/12/2013,2013,1
362,15/12/2013,2013,1
779,15/12/2013,2013,1
2638,15/12/2013,2013,1
869,15/12/2013,2013,1
703,15/12/2013,2013,1
703,15/12/2013,2013,1
703,15/12/2013,2013,1
704,15/12/2013,2013,1
704,15/12/2013,2013,1
864,14/12/2013,2013,1
1796,14/12/2013,2013,1
1799,14/12/2013,2013,1
1802,14/12/2013,2013,1
864,14/12/2013,2013,1
864,14/12/2013,2013,1
873,14/12/2013,2013,1
1519,14/12/2013,2013,1
873,14/12/2013,2013,1
1787,14/12/2013,2013,1
3362,14/12/2013,2013,1
3362,14/12/2013,2013,1
1804,14/12/2013,2013,1
2253,14/12/2013,2013,1
2985,14/12/2013,2013,1
2985,14/12/2013,2013,1
2230,14/12/2013,2013,1
861,14/12/2013,2013,1
861,14/12/2013,2013,1
1841,14/12/2013,2013,1
2777,14/12/2013,2013,1
2777,14/12/2013,2013,1
970,14/12/2013,2013,1
636,14/12/2013,2013,1
970,14/12/2013,2013,1
2777,14/12/2013,2013,1
970,14/12/2013,2013,1
377,11/12/2013,2013,1
2542,09/12/2013,2013,1
2405,09/12/2013,2013,1
759,08/12/2013,2013,1
1665,08/12/2013,2013,1
874,08/12/2013,2013,1
3354,08/12/2013,2013,1
2446,08/12/2013,2013,1
874,08/12/2013,2013,1
2375,08/12/2013,2013,1
2229,08/12/2013,2013,1
2985,08/12/2013,2013,1
1670,08/12/2013,2013,1
2187,08/12/2013,2013,1
2506,07/12/2013,2013,1
2537,07/12/2013,2013,1
1670,07/12/2013,2013,1
878,07/12/2013,2013,1
2187,07/12/2013,2013,1
289,07/12/2013,2013,1
2147,07/12/2013,2013,1
617,07/12/2013,2013,1
621,07/12/2013,2013,1
337,07/12/2013,2013,1
2861,07/12/2013,2013,1
3624,06/12/2013,2013,1
1429,05/12/2013,2013,1
1429,05/12/2013,2013,1
1429,05/12/2013,2013,1
1954,04/12/2013,2013,1
1478,03/12/2013,2013,1
899,01/12/2013,2013,1
1701,01/12/2013,2013,1
2763,01/12/2013,2013,1
988,01/12/2013,2013,1
1954,01/12/2013,2013,1
2669,01/12/2013,2013,1
1954,01/12/2013,2013,1
1701,30/11/2013,2013,1
1701,30/11/2013,2013,1
